Date,Location,Cases,Area
2020-01-08,Αττική,364,Στερεά Ελλάδα
2020-01-09,Αττική,676,Στερεά Ελλάδα
2020-01-10,Αττική,364,Στερεά Ελλάδα
2020-01-10,Πρέβεζα,17,Ήπειρος
2020-01-11,Αττική,364,Στερεά Ελλάδα
2020-01-11,Πρέβεζα,17,Ήπειρος
2020-01-12,Κυκλάδες,1,Αιγαίο Πέλαγος
2020-01-12,Λάρισα,7,Θεσσαλία
2020-01-12,Μεσσηνία,1,Πελοπόννησος
2020-01-12,Πέλλα,1,Μακεδονία
2020-01-12,Πρέβεζα,17,Ήπειρος
2020-01-12,Χαλκιδική,2,Μακεδονία
2020-01-12,Σέρρες,1,Μακεδονία
2020-01-12,Τρίκαλα,2,Θεσσαλία
2020-01-12,Χίος,3,Αιγαίο Πέλαγος
2020-01-12,Κοζάνη,1,Μακεδονία
2020-01-12,Χανιά,2,Κρήτη
2020-01-12,Ρέθυμνο,2,Κρήτη
2020-01-12,Κιλκίς,1,Μακεδονία
2020-01-12,Λέσβος,1,Αιγαίο Πέλαγος
2020-01-12,Κέρκυρα,1,Ιόνιο Πέλαγος
2020-01-12,Θεσσαλονίκη,30,Μακεδονία
2020-01-12,Ηράκλειο,3,Κρήτη
2020-01-12,Ημαθία,5,Μακεδονία
2020-01-12,Ηλεία,3,Πελοπόννησος
2020-01-12,Εύβοια,1,Στερεά Ελλάδα
2020-01-12,Δωδεκάνησα,1,Αιγαίο Πέλαγος
2020-01-12,Βοιωτία,1,Στερεά Ελλάδα
2020-01-12,Αχαΐα,3,Πελοπόννησος
2020-01-12,Αττική,364,Στερεά Ελλάδα
2020-01-12,Αρκαδία,3,Πελοπόννησος
2020-01-12,Αιτωλοακαρνανία,2,Στερεά Ελλάδα
2020-01-12,Καρδίτσα,1,Θεσσαλία
2020-01-13,Αττική,364,Στερεά Ελλάδα
2020-01-13,Πρέβεζα,17,Ήπειρος
2020-01-14,Πρέβεζα,17,Ήπειρος
2020-01-14,Αττική,364,Στερεά Ελλάδα
2020-01-15,Αττική,364,Στερεά Ελλάδα
2020-01-15,Πρέβεζα,17,Ήπειρος
2020-01-16,Αττική,364,Στερεά Ελλάδα
2020-01-16,Πρέβεζα,17,Ήπειρος
2020-01-17,Αττική,271,Στερεά Ελλάδα
2020-01-17,Πρέβεζα,17,Ήπειρος
2020-01-18,Αττική,364,Στερεά Ελλάδα
2020-01-18,Πρέβεζα,17,Ήπειρος
